Episode,Total Reward,Steps,Loss
117,2,2,0.5937867313623428
118,699,1053,0.17111075439924642
119,735,1050,0.15486168109590098
120,96,131,0.14409810890450733
121,382,524,0.14838893294960032
122,32,32,0.5991521263495088
123,84,132,0.4316993400906072
124,22,33,0.3513390986305295
125,2,2,0.21463637799024582
126,635,1060,0.23746387857662618
127,78,133,0.17597432291709392
128,2,2,0.30494678020477295
129,408,522,0.17270178953007262
130,22,33,0.08754671489199002
131,8,8,0.08700320776551962
132,4,4,0.5465637966990471
133,126,268,0.3388891652115245
134,16,16,0.2671474236994982
135,2,2,0.16537108272314072
136,8,8,0.25352057442069054
137,4,4,0.15828276425600052
138,170,263,0.2152869216106237
139,2,35,0.2023922752056803
140,144,266,0.25998391552751227
141,42,66,0.23219976190364722
142,6,17,0.36719850757542777
143,579,1065,0.2312020848054841
144,4,4,0.675211813300848
145,2,2,0.14714007824659348
146,296,533,0.2100909381168309
147,8,8,0.1636344576254487
148,86,132,0.2081031995176366
149,342,528,0.18799011020526063
150,192,262,0.18750266368209406
151,4,4,0.12730929255485535
152,2,2,0.6694572865962982
153,44,66,0.4144193055954846
154,192,262,0.2795288325891695
155,104,130,0.23842630254534575
156,2,2,0.44108113646507263
157,22,33,0.17237891414851853
158,8,8,0.18217803351581097
159,44,66,0.1424493554866675
160,16,16,0.1385787157341838
161,92,131,0.17998151734243822
162,8,8,0.46605683118104935
163,32,32,0.34316181670874357
164,66,134,0.30397190153598785
165,10,34,0.23508135010214412
166,2,2,0.17685258388519287
167,86,132,0.2440817653003967
168,34,67,0.2334221211164745
169,679,1055,0.16773522546717906
170,8,8,0.1442377083003521
171,16,16,0.09920522407628596
172,336,529,0.2946586693251516
173,2,2,0.11675567179918289
174,62,64,0.16527672426309437
175,701,1053,0.15497060670939267
176,4,4,0.1125061996281147
177,2,2,0.07988782599568367
178,20,33,0.1622661699851354
179,54,65,0.17203983813524246
180,192,262,0.17644733069677845
181,32,32,0.15225468133576214
182,747,1048,0.20409778342049084
183,2,2,0.13044361025094986
184,4,4,0.1280051190406084
185,16,16,0.09658506000414491
186,8,8,0.12091682618483901
187,8,8,0.13926463574171066
188,8,8,0.12307430244982243
189,40,66,0.12212478928267956
190,623,1060,0.1711180511932328
191,691,1055,0.17039258714888897
192,651,1058,0.22572831384527772
193,4,4,0.14548591151833534
194,699,1053,0.12561638131100908
195,16,16,0.1043045693077147
196,84,132,0.13805913747372953
197,280,534,0.15319505841070125
198,16,16,0.16418761759996414
199,2,2,0.10609959438443184
200,218,259,0.15740343831968584
201,86,132,0.16621797266557362
202,4,4,0.5078775882720947
203,8,8,0.3417420759797096
204,96,131,0.35645002615815813
205,16,16,0.32717878092080355
206,655,1058,0.17454518654536885
207,731,1050,0.1286279009176152
208,88,132,0.10553047419384573
209,74,133,0.1210540065023684
210,8,8,0.12639146205037832
211,695,1055,0.1380764690867815
212,8,8,0.4400886707007885
213,2,2,0.3049294203519821
214,8,8,0.3353574760258198
215,703,1053,0.18216426799680546
216,8,8,0.10898395301774144
217,376,525,0.11186074459127017
218,44,66,0.08723117975574551
219,2,2,0.07422979548573494
220,669,1057,0.13616777537434643
221,4,4,0.1292894147336483
222,8,8,0.48107609152793884
223,4,4,0.3625134527683258
224,56,135,0.3232993909606227
