Episode,Total Reward,Steps,Loss
925,82,132,1.6721137274395337
926,64,64,1.4531979532912374
927,755,1047,1.0922799916811636
928,40,66,1.2798106200767285
929,657,1057,1.0389980599072708
930,286,533,1.1140618539549845
931,264,535,1.0828601002136125
932,44,66,3.9106862581137456
933,318,530,2.3207342756244373
934,22,33,1.2744555834567908
935,2,2,0.7862070798873901
936,146,266,1.1014324754924703
937,104,130,1.14127700649775
938,22,33,1.0677158922860117
939,16,16,0.9204489029943943
940,20,33,1.043926062005939
941,66,134,1.0549485812436288
942,2,2,3.5112931728363037
943,96,131,3.5354700197700324
944,32,32,2.786614488810301
945,8,8,2.8194077759981155
946,8,8,2.489622265100479
947,649,1059,1.5195779324534706
948,32,67,1.1297431250116718
949,214,260,1.0223574590224487
950,661,1058,0.9744599334515336
951,16,16,1.313973855227232
952,84,132,3.7795253377972227
953,2,2,3.3427228927612305
954,691,1054,1.717924716124272
955,398,522,1.027170038542985
956,4,4,0.7850694209337234
957,4,4,0.5790598392486572
958,72,133,0.9545903057980358
959,601,1064,1.0503017974639297
960,4,4,1.5710452273488045
961,146,266,1.1273268214742045
962,2,2,5.145525932312012
963,278,534,2.8794075930386445
964,180,263,1.4189989034213948
965,4,4,1.5394642055034637
966,22,33,1.2488379857756875
967,302,532,1.157499371558652
968,6,17,1.3111517850090475
969,160,265,0.9340316307994555
970,154,265,1.188995730764461
971,320,530,1.1489859898697654
972,2,2,4.854173183441162
973,2,2,3.5250651836395264
974,332,529,2.9809731787003733
975,32,32,1.6713908538222313
976,32,32,1.8303138073533773
977,655,1058,1.3221752892313472
978,88,132,1.0660391411546506
979,94,270,1.1857946384836127
980,16,16,1.474708866328001
981,318,530,1.776467578028733
982,2,2,4.66381049156189
983,8,8,5.0977137088775635
984,675,1056,2.2761351230808278
985,86,132,1.4238532402298667
986,8,8,0.964106522500515
987,2,2,0.7530793249607086
988,22,33,1.2076516115304194
989,22,33,1.0321607463287585
990,160,265,1.3353424414148871
991,42,66,1.6558581012668032
992,22,33,3.92070670561357
993,42,136,3.7947972039966023
994,2,2,2.5629857778549194
995,74,133,3.0684406676686797
996,2,35,2.6677347115107946
997,32,32,2.3880207166075706
998,86,132,2.1065906367518683
999,4,4,2.4457892179489136
1000,42,66,1.833734797708916
